query,frequency,frequency_source,intent,primary_cluster,secondary_cluster,axis,page_role,cluster_status,parent_cluster,serp_similarity_group,commercial_priority,business_relevance,target_product,recommended_url,notes
трубопровод пылеподавления,,unavailable,commercial_research,Пылеподавление,,application,application,SEPARATE_PAGE,A000,C019,medium,supporting,комплект трубопровода,/bystrotruby-site/solutions/dust-suppression/,главный запрос кластера
водоснабжение системы пылеподавления,,unavailable,commercial_research,Пылеподавление,Пылеподавление,application,application,SEPARATE_PAGE,A000,C019,medium,supporting,комплект трубопровода,/bystrotruby-site/solutions/dust-suppression/,вариант/подинтент; частотность не получена
трубы для пылеподавления,,unavailable,commercial_research,Пылеподавление,Пылеподавление,application,application,SEPARATE_PAGE,A000,C019,medium,supporting,комплект трубопровода,/bystrotruby-site/solutions/dust-suppression/,вариант/подинтент; частотность не получена
пылеподавление в карьере вода,,unavailable,commercial_research,Пылеподавление,Пылеподавление,application,application,SEPARATE_PAGE,A000,C019,medium,supporting,комплект трубопровода,/bystrotruby-site/solutions/dust-suppression/,вариант/подинтент; частотность не получена
временное пожарное водоснабжение,,unavailable,commercial_research,Пожарное водоснабжение,,application,application,SEPARATE_PAGE,A000,C020,medium,supporting,комплект трубопровода,/bystrotruby-site/solutions/fire-water-supply/,главный запрос кластера
мобильный пожарный трубопровод,,unavailable,commercial_research,Пожарное водоснабжение,Пожарное водоснабжение,application,application,SEPARATE_PAGE,A000,C020,medium,supporting,комплект трубопровода,/bystrotruby-site/solutions/fire-water-supply/,вариант/подинтент; частотность не получена
трубопровод для пожаротушения,,unavailable,commercial_research,Пожарное водоснабжение,Пожарное водоснабжение,application,application,SEPARATE_PAGE,A000,C020,medium,supporting,комплект трубопровода,/bystrotruby-site/solutions/fire-water-supply/,вариант/подинтент; частотность не получена
полевой трубопровод пожаротушения,,unavailable,commercial_research,Пожарное водоснабжение,Пожарное водоснабжение,application,application,SEPARATE_PAGE,A000,C020,medium,supporting,комплект трубопровода,/bystrotruby-site/solutions/fire-water-supply/,вариант/подинтент; частотность не получена
аварийное пожарное водоснабжение,,unavailable,commercial_research,Пожарное водоснабжение,Пожарное водоснабжение,application,application,SEPARATE_PAGE,A000,C020,medium,supporting,комплект трубопровода,/bystrotruby-site/solutions/fire-water-supply/,вариант/подинтент; частотность не получена
байпасирование трубопровода,,unavailable,commercial_research,Байпасирование трубопроводов,,application,application,SEPARATE_PAGE,A000,C021,medium,core,комплект трубопровода,/bystrotruby-site/solutions/bypass-pipelines/,главный запрос кластера
временный байпас трубопровода,,unavailable,commercial_research,Байпасирование трубопроводов,Байпасирование трубопроводов,application,application,SEPARATE_PAGE,A000,C021,medium,core,комплект трубопровода,/bystrotruby-site/solutions/bypass-pipelines/,вариант/подинтент; частотность не получена
обводной трубопровод на время ремонта,,unavailable,commercial_research,Байпасирование трубопроводов,Байпасирование трубопроводов,application,application,SEPARATE_PAGE,A000,C021,medium,core,комплект трубопровода,/bystrotruby-site/solutions/bypass-pipelines/,вариант/подинтент; частотность не получена
байпас канализации,,unavailable,commercial_research,Байпасирование трубопроводов,Байпасирование трубопроводов,application,application,SEPARATE_PAGE,A000,C021,medium,core,комплект трубопровода,/bystrotruby-site/solutions/bypass-pipelines/,вариант/подинтент; частотность не получена
байпас водопровода,,unavailable,commercial_research,Байпасирование трубопроводов,Байпасирование трубопроводов,application,application,SEPARATE_PAGE,A000,C021,medium,core,комплект трубопровода,/bystrotruby-site/solutions/bypass-pipelines/,вариант/подинтент; частотность не получена
перекачка стоков при ремонте,,unavailable,commercial_research,Байпасирование трубопроводов,Байпасирование трубопроводов,application,application,SEPARATE_PAGE,A000,C021,medium,core,комплект трубопровода,/bystrotruby-site/solutions/bypass-pipelines/,вариант/подинтент; частотность не получена
аварийный трубопровод,,unavailable,commercial_research,Аварийные и ремонтные линии,,application,application,SECTION,A000,C022,medium,core,комплект трубопровода,/bystrotruby-site/solutions/water-supply/#emergency,главный запрос кластера
временный трубопровод на время ремонта,,unavailable,commercial_research,Аварийные и ремонтные линии,Аварийные и ремонтные линии,application,application,SECTION,A000,C022,medium,core,комплект трубопровода,/bystrotruby-site/solutions/water-supply/#emergency,вариант/подинтент; частотность не получена
ликвидация аварии водопровода,,unavailable,commercial_research,Аварийные и ремонтные линии,Аварийные и ремонтные линии,application,application,SECTION,A000,C022,medium,core,комплект трубопровода,/bystrotruby-site/solutions/water-supply/#emergency,вариант/подинтент; частотность не получена
ремонт трубопровода временная линия,,unavailable,commercial_research,Аварийные и ремонтные линии,Аварийные и ремонтные линии,application,application,SECTION,A000,C022,medium,core,комплект трубопровода,/bystrotruby-site/solutions/water-supply/#emergency,вариант/подинтент; частотность не получена
реконструкция трубопровода байпас,,unavailable,commercial_research,Аварийные и ремонтные линии,Аварийные и ремонтные линии,application,application,SECTION,A000,C022,medium,core,комплект трубопровода,/bystrotruby-site/solutions/water-supply/#emergency,вариант/подинтент; частотность не получена
трубопровод для опрессовки,,unavailable,commercial_research,Опрессовка и промывка,,application,application,SECTION,A000,C023,low,supporting,комплект трубопровода,/bystrotruby-site/solutions/water-supply/#service,главный запрос кластера
временная линия для гидроиспытаний,,unavailable,commercial_research,Опрессовка и промывка,Опрессовка и промывка,application,application,SECTION,A000,C023,low,supporting,комплект трубопровода,/bystrotruby-site/solutions/water-supply/#service,вариант/подинтент; частотность не получена
трубопровод для промывки,,unavailable,commercial_research,Опрессовка и промывка,Опрессовка и промывка,application,application,SECTION,A000,C023,low,supporting,комплект трубопровода,/bystrotruby-site/solutions/water-supply/#service,вариант/подинтент; частотность не получена
временный трубопровод для очистки,,unavailable,commercial_research,Опрессовка и промывка,Опрессовка и промывка,application,application,SECTION,A000,C023,low,supporting,комплект трубопровода,/bystrotruby-site/solutions/water-supply/#service,вариант/подинтент; частотность не получена
подача воды для опрессовки,,unavailable,commercial_research,Опрессовка и промывка,Опрессовка и промывка,application,application,SECTION,A000,C023,low,supporting,комплект трубопровода,/bystrotruby-site/solutions/water-supply/#service,вариант/подинтент; частотность не получена
трубопровод для снегогенерации,,unavailable,commercial_research,Снегогенерация,,application,application,SEPARATE_PAGE,A000,C024,medium,supporting,комплект трубопровода,/bystrotruby-site/solutions/snowmaking/,главный запрос кластера
трубы для искусственного оснежения,,unavailable,commercial_research,Снегогенерация,Снегогенерация,application,application,SEPARATE_PAGE,A000,C024,medium,supporting,комплект трубопровода,/bystrotruby-site/solutions/snowmaking/,вариант/подинтент; частотность не получена
водопровод для снежных пушек,,unavailable,commercial_research,Снегогенерация,Снегогенерация,application,application,SEPARATE_PAGE,A000,C024,medium,supporting,комплект трубопровода,/bystrotruby-site/solutions/snowmaking/,вариант/подинтент; частотность не получена
система трубопроводов оснежения,,unavailable,commercial_research,Снегогенерация,Снегогенерация,application,application,SEPARATE_PAGE,A000,C024,medium,supporting,комплект трубопровода,/bystrotruby-site/solutions/snowmaking/,вариант/подинтент; частотность не получена
трубопровод для подачи бетонной смеси,,unavailable,commercial_research,Подача бетона и закладочной смеси,,application,application,HUB,A000,C025,medium,supporting,комплект трубопровода,/bystrotruby-site/solutions/concrete-supply/,главный запрос кластера
бетоновод БРС,,unavailable,commercial_research,Подача бетона и закладочной смеси,Подача бетона и закладочной смеси,application,application,HUB,A000,C025,medium,supporting,комплект трубопровода,/bystrotruby-site/solutions/concrete-supply/,вариант/подинтент; частотность не получена
трубы для бетоновода,,unavailable,commercial_research,Подача бетона и закладочной смеси,Подача бетона и закладочной смеси,application,application,HUB,A000,C025,medium,supporting,комплект трубопровода,/bystrotruby-site/solutions/concrete-supply/,вариант/подинтент; частотность не получена
БРС для бетоновода,,unavailable,commercial_research,Подача бетона и закладочной смеси,Подача бетона и закладочной смеси,application,application,HUB,A000,C025,medium,supporting,комплект трубопровода,/bystrotruby-site/solutions/concrete-supply/,вариант/подинтент; частотность не получена
трубопровод закладочной смеси,,unavailable,commercial_research,Подача бетона и закладочной смеси,Подача бетона и закладочной смеси,application,application,HUB,A000,C025,medium,supporting,комплект трубопровода,/bystrotruby-site/solutions/concrete-supply/,вариант/подинтент; частотность не получена
подача закладочной смеси,,unavailable,commercial_research,Подача бетона и закладочной смеси,Подача бетона и закладочной смеси,application,application,HUB,A000,C025,medium,supporting,комплект трубопровода,/bystrotruby-site/solutions/concrete-supply/,вариант/подинтент; частотность не получена
закладочный трубопровод,,unavailable,commercial_research,Подача бетона и закладочной смеси,Подача бетона и закладочной смеси,application,application,HUB,A000,C025,medium,supporting,комплект трубопровода,/bystrotruby-site/solutions/concrete-supply/,вариант/подинтент; частотность не получена
промышленные трубопроводные системы,,unavailable,commercial_research,Отрасли,,industry,hub,HUB,,I000,medium,supporting,комплект трубопровода,/bystrotruby-site/industries/,главный запрос кластера
трубопроводы для горнодобывающей промышленности,,unavailable,commercial_research,Горнодобывающая промышленность,,industry,industry,SEPARATE_PAGE,I000,C026,high,core,комплект трубопровода,/bystrotruby-site/industries/mining/,главный запрос кластера
трубы для карьера,,unavailable,commercial_research,Горнодобывающая промышленность,Горнодобывающая промышленность,industry,industry,SEPARATE_PAGE,I000,C026,high,core,комплект трубопровода,/bystrotruby-site/industries/mining/,вариант/подинтент; частотность не получена
карьерные трубопроводы,,unavailable,commercial_research,Горнодобывающая промышленность,Горнодобывающая промышленность,industry,industry,SEPARATE_PAGE,I000,C026,high,core,комплект трубопровода,/bystrotruby-site/industries/mining/,вариант/подинтент; частотность не получена
трубы для шахт,,unavailable,commercial_research,Горнодобывающая промышленность,Горнодобывающая промышленность,industry,industry,SEPARATE_PAGE,I000,C026,high,core,комплект трубопровода,/bystrotruby-site/industries/mining/,вариант/подинтент; частотность не получена
шахтные трубопроводы,,unavailable,commercial_research,Горнодобывающая промышленность,Горнодобывающая промышленность,industry,industry,SEPARATE_PAGE,I000,C026,high,core,комплект трубопровода,/bystrotruby-site/industries/mining/,вариант/подинтент; частотность не получена
трубопровод для рудника,,unavailable,commercial_research,Горнодобывающая промышленность,Горнодобывающая промышленность,industry,industry,SEPARATE_PAGE,I000,C026,high,core,комплект трубопровода,/bystrotruby-site/industries/mining/,вариант/подинтент; частотность не получена
трубопровод для ГОКа,,unavailable,commercial_research,Горнодобывающая промышленность,Горнодобывающая промышленность,industry,industry,SEPARATE_PAGE,I000,C026,high,core,комплект трубопровода,/bystrotruby-site/industries/mining/,вариант/подинтент; частотность не получена
трубопровод для угольного разреза,,unavailable,commercial_research,Горнодобывающая промышленность,Горнодобывающая промышленность,industry,industry,SEPARATE_PAGE,I000,C026,high,core,комплект трубопровода,/bystrotruby-site/industries/mining/,вариант/подинтент; частотность не получена
временные трубопроводы для строительства,,unavailable,commercial_research,Строительство,,industry,industry,SEPARATE_PAGE,I000,C027,high,core,комплект трубопровода,/bystrotruby-site/industries/construction/,главный запрос кластера
трубопровод для стройплощадки,,unavailable,commercial_research,Строительство,Строительство,industry,industry,SEPARATE_PAGE,I000,C027,high,core,комплект трубопровода,/bystrotruby-site/industries/construction/,вариант/подинтент; частотность не получена
трубы для котлована,,unavailable,commercial_research,Строительство,Строительство,industry,industry,SEPARATE_PAGE,I000,C027,high,core,комплект трубопровода,/bystrotruby-site/industries/construction/,вариант/подинтент; частотность не получена
временный водопровод стройплощадки,,unavailable,commercial_research,Строительство,Строительство,industry,industry,SEPARATE_PAGE,I000,C027,high,core,комплект трубопровода,/bystrotruby-site/industries/construction/,вариант/подинтент; частотность не получена
трубы для дорожного строительства,,unavailable,commercial_research,Строительство,Строительство,industry,industry,SEPARATE_PAGE,I000,C027,high,core,комплект трубопровода,/bystrotruby-site/industries/construction/,вариант/подинтент; частотность не получена
трубопроводы инфраструктурного строительства,,unavailable,commercial_research,Строительство,Строительство,industry,industry,SEPARATE_PAGE,I000,C027,high,core,комплект трубопровода,/bystrotruby-site/industries/construction/,вариант/подинтент; частотность не получена
трубопроводы для сельского хозяйства,,unavailable,commercial_research,Сельское хозяйство,,industry,industry,SEPARATE_PAGE,I000,C028,medium,supporting,комплект трубопровода,/bystrotruby-site/industries/agriculture/,главный запрос кластера
полевые трубы для сельского хозяйства,,unavailable,commercial_research,Сельское хозяйство,Сельское хозяйство,industry,industry,SEPARATE_PAGE,I000,C028,medium,supporting,комплект трубопровода,/bystrotruby-site/industries/agriculture/,вариант/подинтент; частотность не получена
мобильный водопровод для фермы,,unavailable,commercial_research,Сельское хозяйство,Сельское хозяйство,industry,industry,SEPARATE_PAGE,I000,C028,medium,supporting,комплект трубопровода,/bystrotruby-site/industries/agriculture/,вариант/подинтент; частотность не получена
трубопровод для животноводства,,unavailable,commercial_research,Сельское хозяйство,Сельское хозяйство,industry,industry,SEPARATE_PAGE,I000,C028,medium,supporting,комплект трубопровода,/bystrotruby-site/industries/agriculture/,вариант/подинтент; частотность не получена
сельскохозяйственные трубопроводы,,unavailable,commercial_research,Сельское хозяйство,Сельское хозяйство,industry,industry,SEPARATE_PAGE,I000,C028,medium,supporting,комплект трубопровода,/bystrotruby-site/industries/agriculture/,вариант/подинтент; частотность не получена
временный трубопровод для водоканала,,unavailable,commercial_research,ЖКХ и водоканалы,,industry,industry,SEPARATE_PAGE,I000,C029,medium,core,комплект трубопровода,/bystrotruby-site/industries/utilities-waterworks/,главный запрос кластера
байпас трубопровода водоканала,,unavailable,commercial_research,ЖКХ и водоканалы,ЖКХ и водоканалы,industry,industry,SEPARATE_PAGE,I000,C029,medium,core,комплект трубопровода,/bystrotruby-site/industries/utilities-waterworks/,вариант/подинтент; частотность не получена
аварийный водовод ЖКХ,,unavailable,commercial_research,ЖКХ и водоканалы,ЖКХ и водоканалы,industry,industry,SEPARATE_PAGE,I000,C029,medium,core,комплект трубопровода,/bystrotruby-site/industries/utilities-waterworks/,вариант/подинтент; частотность не получена
временные коммунальные сети,,unavailable,commercial_research,ЖКХ и водоканалы,ЖКХ и водоканалы,industry,industry,SEPARATE_PAGE,I000,C029,medium,core,комплект трубопровода,/bystrotruby-site/industries/utilities-waterworks/,вариант/подинтент; частотность не получена
перекачка сточных вод водоканал,,unavailable,commercial_research,ЖКХ и водоканалы,ЖКХ и водоканалы,industry,industry,SEPARATE_PAGE,I000,C029,medium,core,комплект трубопровода,/bystrotruby-site/industries/utilities-waterworks/,вариант/подинтент; частотность не получена
трубопроводы для ТЭЦ,,unavailable,commercial_research,Энергетика и ТЭЦ,,industry,industry,SEPARATE_PAGE,I000,C030,medium,supporting,комплект трубопровода,/bystrotruby-site/industries/energy/,главный запрос кластера
техническое водоснабжение ТЭЦ,,unavailable,commercial_research,Энергетика и ТЭЦ,Энергетика и ТЭЦ,industry,industry,SEPARATE_PAGE,I000,C030,medium,supporting,комплект трубопровода,/bystrotruby-site/industries/energy/,вариант/подинтент; частотность не получена
трубопровод гидрозолоудаления ТЭЦ,,unavailable,commercial_research,Энергетика и ТЭЦ,Энергетика и ТЭЦ,industry,industry,SEPARATE_PAGE,I000,C030,medium,supporting,комплект трубопровода,/bystrotruby-site/industries/energy/,вариант/подинтент; частотность не получена
временный трубопровод энергетика,,unavailable,commercial_research,Энергетика и ТЭЦ,Энергетика и ТЭЦ,industry,industry,SEPARATE_PAGE,I000,C030,medium,supporting,комплект трубопровода,/bystrotruby-site/industries/energy/,вариант/подинтент; частотность не получена
быстроразъемные трубопроводы нефтегаз,,unavailable,commercial_research,Нефтегаз,,industry,industry,REVIEW,I000,C031,low,traffic_only,комплект трубопровода,/bystrotruby-site/industries/oil-and-gas/,главный запрос кластера
полевой трубопровод нефтепродуктов,,unavailable,commercial_research,Нефтегаз,Нефтегаз,industry,industry,REVIEW,I000,C031,low,traffic_only,комплект трубопровода,/bystrotruby-site/industries/oil-and-gas/,вариант/подинтент; частотность не получена
трубы для месторождения,,unavailable,commercial_research,Нефтегаз,Нефтегаз,industry,industry,REVIEW,I000,C031,low,traffic_only,комплект трубопровода,/bystrotruby-site/industries/oil-and-gas/,вариант/подинтент; частотность не получена
БРС высокого давления нефтегаз,,unavailable,commercial_research,Нефтегаз,Нефтегаз,industry,industry,REVIEW,I000,C031,low,traffic_only,комплект трубопровода,/bystrotruby-site/industries/oil-and-gas/,вариант/подинтент; частотность не получена
промышленные трубопроводы для шлама,,unavailable,commercial_research,"Металлургия, химия и цемент",,industry,industry,SECTION,I000,C032,low,supporting,комплект трубопровода,/bystrotruby-site/industries/metallurgy/,главный запрос кластера
трубопровод металлургического предприятия,,unavailable,commercial_research,"Металлургия, химия и цемент","Металлургия, химия и цемент",industry,industry,SECTION,I000,C032,low,supporting,комплект трубопровода,/bystrotruby-site/industries/metallurgy/,вариант/подинтент; частотность не получена
трубопровод химического предприятия,,unavailable,commercial_research,"Металлургия, химия и цемент","Металлургия, химия и цемент",industry,industry,SECTION,I000,C032,low,supporting,комплект трубопровода,/bystrotruby-site/industries/metallurgy/,вариант/подинтент; частотность не получена
трубопровод цементного завода,,unavailable,commercial_research,"Металлургия, химия и цемент","Металлургия, химия и цемент",industry,industry,SECTION,I000,C032,low,supporting,комплект трубопровода,/bystrotruby-site/industries/metallurgy/,вариант/подинтент; частотность не получена
транспортировка шлама на производстве,,unavailable,commercial_research,"Металлургия, химия и цемент","Металлургия, химия и цемент",industry,industry,SECTION,I000,C032,low,supporting,комплект трубопровода,/bystrotruby-site/industries/metallurgy/,вариант/подинтент; частотность не получена
материалы трубопроводов,,unavailable,commercial_research,Материалы труб,,material,hub,HUB,,M000,medium,supporting,трубы с БРС,/bystrotruby-site/materials/,главный запрос кластера
стальные трубы с БРС,,unavailable,commercial,Стальные трубы с БРС,,intersection,material,SEPARATE_PAGE,M000,C033,high,core,трубы с БРС,/bystrotruby-site/materials/steel-pipes/,главный запрос кластера
стальная труба БРС,,unavailable,commercial,Стальные трубы с БРС,Стальные трубы с БРС,intersection,material,SEPARATE_PAGE,M000,C033,high,core,трубы с БРС,/bystrotruby-site/materials/steel-pipes/,вариант/подинтент; частотность не получена
металлические трубы с быстроразъемным соединением,,unavailable,commercial,Стальные трубы с БРС,Стальные трубы с БРС,intersection,material,SEPARATE_PAGE,M000,C033,high,core,трубы с БРС,/bystrotruby-site/materials/steel-pipes/,вариант/подинтент; частотность не получена
оцинкованные трубы с БРС,,unavailable,commercial,Стальные трубы с БРС,Стальные трубы с БРС,intersection,material,SEPARATE_PAGE,M000,C033,high,core,трубы с БРС,/bystrotruby-site/materials/steel-pipes/,вариант/подинтент; частотность не получена
стальной сборно разборный трубопровод,,unavailable,commercial,Стальные трубы с БРС,Стальные трубы с БРС,intersection,material,SEPARATE_PAGE,M000,C033,high,core,трубы с БРС,/bystrotruby-site/materials/steel-pipes/,вариант/подинтент; частотность не получена
ПНД трубы с быстроразъемным соединением,,unavailable,commercial_research,ПНД трубы и быстрые соединения,,intersection,material,SEPARATE_PAGE,M000,C034,high,supporting,трубы с БРС,/bystrotruby-site/materials/hdpe-pipes/,главный запрос кластера
ПНД трубы с БРС,,unavailable,commercial_research,ПНД трубы и быстрые соединения,ПНД трубы и быстрые соединения,intersection,material,SEPARATE_PAGE,M000,C034,high,supporting,трубы с БРС,/bystrotruby-site/materials/hdpe-pipes/,вариант/подинтент; частотность не получена
быстросборный трубопровод ПНД,,unavailable,commercial_research,ПНД трубы и быстрые соединения,ПНД трубы и быстрые соединения,intersection,material,SEPARATE_PAGE,M000,C034,high,supporting,трубы с БРС,/bystrotruby-site/materials/hdpe-pipes/,вариант/подинтент; частотность не получена
разъемное соединение труб ПНД,,unavailable,commercial_research,ПНД трубы и быстрые соединения,ПНД трубы и быстрые соединения,intersection,material,SEPARATE_PAGE,M000,C034,high,supporting,трубы с БРС,/bystrotruby-site/materials/hdpe-pipes/,вариант/подинтент; частотность не получена
полиэтиленовые трубы для временного трубопровода,,unavailable,commercial_research,ПНД трубы и быстрые соединения,ПНД трубы и быстрые соединения,intersection,material,SEPARATE_PAGE,M000,C034,high,supporting,трубы с БРС,/bystrotruby-site/materials/hdpe-pipes/,вариант/подинтент; частотность не получена
плоскосворачиваемые рукава для воды,,unavailable,commercial,Гибкие и плоскосворачиваемые рукава,,material,material,SEPARATE_PAGE,M000,C035,medium,supporting,трубы с БРС,/bystrotruby-site/materials/rubber-hoses/,главный запрос кластера
гибкий трубопровод,,unavailable,commercial,Гибкие и плоскосворачиваемые рукава,Гибкие и плоскосворачиваемые рукава,material,material,SEPARATE_PAGE,M000,C035,medium,supporting,трубы с БРС,/bystrotruby-site/materials/rubber-hoses/,вариант/подинтент; частотность не получена
напорный плоскосворачиваемый рукав,,unavailable,commercial,Гибкие и плоскосворачиваемые рукава,Гибкие и плоскосворачиваемые рукава,material,material,SEPARATE_PAGE,M000,C035,medium,supporting,трубы с БРС,/bystrotruby-site/materials/rubber-hoses/,вариант/подинтент; частотность не получена
промышленный рукав для перекачки воды,,unavailable,commercial,Гибкие и плоскосворачиваемые рукава,Гибкие и плоскосворачиваемые рукава,material,material,SEPARATE_PAGE,M000,C035,medium,supporting,трубы с БРС,/bystrotruby-site/materials/rubber-hoses/,вариант/подинтент; частотность не получена
рукав для водоотлива,,unavailable,commercial,Гибкие и плоскосворачиваемые рукава,Гибкие и плоскосворачиваемые рукава,material,material,SEPARATE_PAGE,M000,C035,medium,supporting,трубы с БРС,/bystrotruby-site/materials/rubber-hoses/,вариант/подинтент; частотность не получена
мобильный трубопровод из рукавов,,unavailable,commercial,Гибкие и плоскосворачиваемые рукава,Гибкие и плоскосворачиваемые рукава,material,material,SEPARATE_PAGE,M000,C035,medium,supporting,трубы с БРС,/bystrotruby-site/materials/rubber-hoses/,вариант/подинтент; частотность не получена
комбинированный трубопровод,,unavailable,commercial_research,Комбинированные трубопроводы,,material,material,HUB,M000,C036,medium,core,трубы с БРС,/bystrotruby-site/materials/combined-pipelines/,главный запрос кластера
трубопровод сталь ПНД,,unavailable,commercial_research,Комбинированные трубопроводы,Комбинированные трубопроводы,material,material,HUB,M000,C036,medium,core,трубы с БРС,/bystrotruby-site/materials/combined-pipelines/,вариант/подинтент; частотность не получена
трубопровод сталь рукав,,unavailable,commercial_research,Комбинированные трубопроводы,Комбинированные трубопроводы,material,material,HUB,M000,C036,medium,core,трубы с БРС,/bystrotruby-site/materials/combined-pipelines/,вариант/подинтент; частотность не получена
трубопровод ПНД рукав,,unavailable,commercial_research,Комбинированные трубопроводы,Комбинированные трубопроводы,material,material,HUB,M000,C036,medium,core,трубы с БРС,/bystrotruby-site/materials/combined-pipelines/,вариант/подинтент; частотность не получена
комплект комбинированного трубопровода,,unavailable,commercial_research,Комбинированные трубопроводы,Комбинированные трубопроводы,material,material,HUB,M000,C036,medium,core,трубы с БРС,/bystrotruby-site/materials/combined-pipelines/,вариант/подинтент; частотность не получена
алюминиевые быстроразъемные трубы,,unavailable,commercial_research,"Нержавеющие, алюминиевые, композитные трубы",,material,material,REVIEW,M000,C037,low,traffic_only,трубы с БРС,/bystrotruby-site/materials/aluminum-pipes/,главный запрос кластера
нержавеющие трубы с БРС,,unavailable,commercial_research,"Нержавеющие, алюминиевые, композитные трубы","Нержавеющие, алюминиевые, композитные трубы",material,material,REVIEW,M000,C037,low,traffic_only,трубы с БРС,/bystrotruby-site/materials/aluminum-pipes/,вариант/подинтент; частотность не получена
композитные трубы для трубопровода,,unavailable,commercial_research,"Нержавеющие, алюминиевые, композитные трубы","Нержавеющие, алюминиевые, композитные трубы",material,material,REVIEW,M000,C037,low,traffic_only,трубы с БРС,/bystrotruby-site/materials/aluminum-pipes/,вариант/подинтент; частотность не получена
алюминиевый трубопровод для орошения,,unavailable,commercial_research,"Нержавеющие, алюминиевые, композитные трубы","Нержавеющие, алюминиевые, композитные трубы",material,material,REVIEW,M000,C037,low,traffic_only,трубы с БРС,/bystrotruby-site/materials/aluminum-pipes/,вариант/подинтент; частотность не получена
быстроразъемные соединения для труб,,unavailable,commercial,Типы соединений,,connection,hub,HUB,,K000,high,core,БРС на шарнирном хомуте,/bystrotruby-site/catalog/quick-couplings/,главный запрос кластера
быстросъемные соединения труб,,unavailable,commercial,Типы соединений,Типы соединений,connection,hub,HUB,,K000,high,core,БРС на шарнирном хомуте,/bystrotruby-site/catalog/quick-couplings/,вариант/подинтент; частотность не получена
быстроразборное соединение труб,,unavailable,commercial,Типы соединений,Типы соединений,connection,hub,HUB,,K000,high,core,БРС на шарнирном хомуте,/bystrotruby-site/catalog/quick-couplings/,вариант/подинтент; частотность не получена
разъемное соединение труб без сварки,,unavailable,commercial,Типы соединений,Типы соединений,connection,hub,HUB,,K000,high,core,БРС на шарнирном хомуте,/bystrotruby-site/catalog/quick-couplings/,вариант/подинтент; частотность не получена
быстрое соединение труб,,unavailable,commercial,Типы соединений,Типы соединений,connection,hub,HUB,,K000,high,core,БРС на шарнирном хомуте,/bystrotruby-site/catalog/quick-couplings/,вариант/подинтент; частотность не получена
соединение Bauer,,unavailable,commercial,Bauer,,connection,connection_type,SEPARATE_PAGE,K000,C038,medium,supporting,БРС на шарнирном хомуте,/bystrotruby-site/catalog/quick-couplings/bauer/,главный запрос кластера
муфта Bauer,,unavailable,commercial,Bauer,Bauer,connection,connection_type,SEPARATE_PAGE,K000,C038,medium,supporting,БРС на шарнирном хомуте,/bystrotruby-site/catalog/quick-couplings/bauer/,вариант/подинтент; частотность не получена
трубы Bauer,,unavailable,commercial,Bauer,Bauer,connection,connection_type,SEPARATE_PAGE,K000,C038,medium,supporting,БРС на шарнирном хомуте,/bystrotruby-site/catalog/quick-couplings/bauer/,вариант/подинтент; частотность не получена
трубопровод Bauer,,unavailable,commercial,Bauer,Bauer,connection,connection_type,SEPARATE_PAGE,K000,C038,medium,supporting,БРС на шарнирном хомуте,/bystrotruby-site/catalog/quick-couplings/bauer/,вариант/подинтент; частотность не получена
Bauer для орошения,,unavailable,commercial,Bauer,Bauer,connection,connection_type,SEPARATE_PAGE,K000,C038,medium,supporting,БРС на шарнирном хомуте,/bystrotruby-site/catalog/quick-couplings/bauer/,вариант/подинтент; частотность не получена
Бауэр соединение труб,,unavailable,commercial,Bauer,Bauer,connection,connection_type,SEPARATE_PAGE,K000,C038,medium,supporting,БРС на шарнирном хомуте,/bystrotruby-site/catalog/quick-couplings/bauer/,вариант/подинтент; частотность не получена
соединение Camlock,,unavailable,commercial,Camlock,,connection,connection_type,SEPARATE_PAGE,K000,C039,medium,supporting,БРС на шарнирном хомуте,/bystrotruby-site/catalog/quick-couplings/camlock/,главный запрос кластера
камлок соединение,,unavailable,commercial,Camlock,Camlock,connection,connection_type,SEPARATE_PAGE,K000,C039,medium,supporting,БРС на шарнирном хомуте,/bystrotruby-site/catalog/quick-couplings/camlock/,вариант/подинтент; частотность не получена
муфта камлок для воды,,unavailable,commercial,Camlock,Camlock,connection,connection_type,SEPARATE_PAGE,K000,C039,medium,supporting,БРС на шарнирном хомуте,/bystrotruby-site/catalog/quick-couplings/camlock/,вариант/подинтент; частотность не получена
Camlock для труб,,unavailable,commercial,Camlock,Camlock,connection,connection_type,SEPARATE_PAGE,K000,C039,medium,supporting,БРС на шарнирном хомуте,/bystrotruby-site/catalog/quick-couplings/camlock/,вариант/подинтент; частотность не получена
Camlock для рукава,,unavailable,commercial,Camlock,Camlock,connection,connection_type,SEPARATE_PAGE,K000,C039,medium,supporting,БРС на шарнирном хомуте,/bystrotruby-site/catalog/quick-couplings/camlock/,вариант/подинтент; частотность не получена
кулачковое быстроразъемное соединение,,unavailable,commercial,Camlock,Camlock,connection,connection_type,SEPARATE_PAGE,K000,C039,medium,supporting,БРС на шарнирном хомуте,/bystrotruby-site/catalog/quick-couplings/camlock/,вариант/подинтент; частотность не получена
грувлочное соединение труб,,unavailable,commercial,Grooved / Victaulic,,connection,connection_type,SEPARATE_PAGE,K000,C040,medium,traffic_only,БРС на шарнирном хомуте,/bystrotruby-site/catalog/quick-couplings/grooved-couplings/,главный запрос кластера
